id,name,category,purchase_price,purchase_unit,usage_unit,conversion_factor,yield_percentage,current_price,status
154,Energy Drink Celsius Kiwi Guava,resale_beverage,23.0900,case 12 X 12 Oz,unit,12.000000,100.000,23.0900,active
155,Energy Drink Celsuis Strawberry Lemonade,resale_beverage,28.6900,case 12 X 12 Oz,unit,12.000000,100.000,28.6900,active
156,Water Bottle Smart,resale_beverage,0.9500,unit,unit,1.000000,100.000,0.9500,active
157,Flavored Water Mango Pineapple Splash,resale_beverage,1.5000,unit,unit,1.000000,100.000,1.5000,active
158,Espresso,coffee,207.2000,case 6 x bag 1kg,g,6000.000000,100.000,207.2000,active
159,Ice Cubes,beverages,0.5000,1 L,ml,16.000000,100.000,0.5000,active
160,Whipped Cream,dairy,24.9500,case 10 x 14 oz,oz,140.000000,100.000,24.9500,active
161,Beef Pepperoni,specialty,110.9900,case 2 x Bag 5 lb,g,4536.000000,100.000,110.9900,active
162,Salt,specialty,2.4900,case 26 oz,ml,737.000000,100.000,2.4900,active
163,Brewed Tea,tea,0.2400,3 gal,ml,11356.000000,100.000,0.2400,active
164,Cappuccino Foam,dairy,4.8700,1 gal,ml,3785.000000,100.000,4.8700,active
165,Cold Foam Coconut,dairy,40.6900,Case 12 × 32 oz,ml,11356.000000,100.000,40.6900,active
166,Tiramisu Toasted Almond,bakery,41.0400,Case 15 units,unit,15.000000,100.000,41.0400,active
167,All Butter Curved Croissant,bakery,53.9400,case,unit,50.000000,100.000,53.9400,active
168,All Butter Curved Mini Croissant,bakery,77.5900,case,unit,150.000000,100.000,0.5173,active
169,Vegan Croissant,bakery,67.4400,Case 48 units,unit,48.000000,100.000,67.4400,active
170,Multigrain Muffin,bakery,33.7300,Case 20 units,unit,20.000000,100.000,33.7300,active
171,Strawberry Sprint,specialty,193.7100,Case 8 x 1.32 kg,oz,373.000000,100.000,193.7100,active
172,White Base Sprint,specialty,180.4100,Case 12 units,oz,390.000000,100.000,180.4100,active
173,Pineapple Syrup,syrups,11.9900,bottle 1 L ,ml,1000.000000,100.000,11.9900,active
174,Avocado Cheesecake,bakery,4.9900,Case 8 units,unit,8.000000,100.000,4.9900,active
175,Chocolate Mousse Glass,bakery,4.4700,Case 12 units,unit,1.000000,100.000,4.4700,active
176,Chocolate Truffle Cake,bakery,107.5200,case,unit,12.000000,100.000,107.5200,active
177,Blueberry and Chocolate Chips Vegan Croissant,bakery,67.4400,Case 48 units,unit,48.000000,100.000,67.4400,active
178,Raspberry Passion Fruit Cake,bakery,41.7500,case 12 units x 4.1 oz,unit,12.000000,100.000,41.7500,active
179,Sicilian Cannoli,bakery,36.3100,case 10 units,unit,10.000000,100.000,36.3100,active
180,Pistachio Profiteroles,bakery,39.5300,Case 24 units,unit,24.000000,100.000,39.5300,active
181,Traditional Cheesecake,bakery,32.2100,Case 14 units,unit,14.000000,100.000,32.2100,active
182,Truffle Royale Cake,bakery,44.5000,Case 14 units,unit,14.000000,100.000,44.5000,active
183,Muffin Classico,bakery,33.7300,Case 20 units,unit,21.000000,100.000,33.7300,active
184,Chocolate Sprint,gelato_paste,204.1600,Case 12 units,oz,423.000000,100.000,204.1600,active
185,Lemon Blueberry Crumb Cheesecake,bakery,2.5000,Case 16 units,unit,1.000000,100.000,2.5000,active
237,A'Siciliana Pomegranate Soda Can 11 Oz,Beverages,31.2000,case,unit,24.000000,100.000,31.2000,active
238,A'Siciliana Blood Orange Soda Can 11 Oz,Beverages,31.2000,case,unit,24.000000,100.000,31.2000,active
