id,name,category,conversion_factor,purchase_unit,usage_unit,canonical_unit,purchase_price,current_price,yield_percentage
24,White Lotus,fruit_concentrate,1893.000000,bottle,L,L,29.7100,29.7100,0.980
54,Arugula,produce,1814.000000,Bag 4 lb,g,kg,21.8000,21.8000,1.000
41,Chocolate Powder,powders,1361.000000,case,lb,kg,20.2100,20.2100,0.980
47,Honey Oat Granola,specialty,1361.000000,case,oz,kg,19.4900,19.4900,0.980
45,Tapioca Pearls,specialty,1361.000000,case,oz,kg,65.4900,65.4900,1.000
40,Vanilla Powder,powders,1361.000000,case,lb,kg,26.9900,26.9900,0.980
15,Chai Tea Concentrate,tea,1000.000000,bottle,ml,L,6.7500,6.7500,0.980
53,Club Soda,beverages,1000.000000,Case,ml,L,17.9500,17.9500,1.000
21,Coconut Syrup,syrups,1000.000000,1 L,ml,L,6.7500,6.7500,0.980
23,Dragon Fruit Syrup,syrups,1000.000000,1 L,ml,L,6.7500,6.7500,0.980
22,Hazelnut Syrup,syrups,1000.000000,1 L,ml,L,6.7500,6.7500,0.980
18,Matcha,tea,1000.000000,case,g,kg,377.5000,377.5000,0.980
173,Pineapple Syrup,syrups,1000.000000,Case 12 units,ml,ml,4.3583,4.3583,1.000
20,Rose Syrup,syrups,1000.000000,case,ml,L,11.9900,11.9900,0.980
32,Strawberry Fruit Puree,fruit_concentrate,1000.000000,1 L,ml,L,15.0000,15.0000,0.980
171,Strawberry Sprint,specialty,1000.000000,Case 8 units,g,g,193.7100,193.7100,1.000
42,Taro Powder,powders,1000.000000,case,g,kg,18.4900,18.4900,1.000
19,Vanilla Syrup,syrups,1000.000000,1 L,ml,L,39.9900,222.9700,0.980
172,White Base Sprint,specialty,1000.000000,Case 12 units,g,g,180.4100,180.4100,1.000
59,Capers,produce,907.000000,Package 2 lb,g,kg,5.9100,5.9100,0.980
8,Greek Yogurt,dairy,907.000000,case,oz,kg,94.6600,94.6600,1.000
49,Cooking Spray,specialty,482.000000,case,g,kg,5.7900,5.7900,1.000
65,Chicken Breast Grilled,protein,454.000000,case,lb,kg,9.5000,9.5000,0.970
46,Crushed Oreo,specialty,454.000000,case,g,kg,6.9900,6.9900,1.000
55,Sliced Tomato,produce,454.000000,case,g,kg,26.0400,26.0400,0.980
64,Smoked Salmon,protein,454.000000,case,lb,kg,84.2800,84.2800,0.970
162,Salt,specialty,400.000000,case,oz,kg,2.4900,2.4900,1.000
60,Sliced Pickles,produce,400.000000,case,unit,unit,12.3000,12.3000,1.000
160,Whipped Cream,dairy,397.000000,Can 14 oz,g,kg,24.9500,24.9500,1.000
11,Coconut Flakes,specialty,283.000000,case,g,kg,8.3900,8.3900,0.970
51,Seasoning Mix,specialty,283.000000,case,g,kg,3.5200,3.5200,1.000
50,Orange Food Coloring,specialty,236.000000,bottle,ml,L,10.4900,10.4900,0.980
168,All Butter Curved Mini Croissant,bakery,150.000000,case,unit,unit,77.5900,0.5173,1.000
12,Cold Brew,coffee,128.000000,1 gal,oz,L,70.4000,70.4000,1.000
14,Nitro Cold Brew,coffee,128.000000,1 gal,oz,L,36.0000,36.0000,1.000
99,Chocolate Chip Cookie,bakery,80.000000,case,unit,kg,79.9900,79.9900,1.000
161,Pepper,specialty,80.000000,Bag 5 lb,oz,kg,110.9900,110.9900,1.000
106,Coffee Eclair,bakery,72.000000,case,unit,unit,28.4900,28.4900,1.000
